,epochs,train_acc,train_loss,val_acc,val_loss
0,1,0.26719576719576726,3.058637395737663,0.2986111111111111,2.8409129174219236
1,2,0.7109788359788364,2.371496653272992,0.625,2.2865060282250247
2,3,0.9173280423280431,1.7474808049580408,0.7708333333333334,1.8085082409282525
3,4,0.9821428571428572,1.2456783969250937,0.8263888888888888,1.4583893192725048
4,5,0.9966931216931219,0.8621061900778423,0.8541666666666666,1.1611222682727709
5,6,1.0,0.5959134435369855,0.8541666666666666,0.9480901156655617
6,7,1.0,0.4217820583827912,0.8958333333333334,0.8019499577995803
7,8,1.0,0.30976735185536125,0.8888888888888888,0.6889729219385319
8,9,1.0,0.23485414015631828,0.8958333333333334,0.6153584513813257
9,10,1.0,0.18306430310957014,0.8888888888888888,0.5655488791979022
