,epochs,train_acc,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_acc,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.2328042328042328,3.2225171526273093,0.7976190476190477,0.21031746031746032,0.007936507936507936,0.2569444444444444,3.050400975677702,0.9930555555555556,0.6944444444444444,0.05555555555555555
1,2,0.543650793650794,2.7425250808397927,0.9920634920634921,0.6111111111111112,0.023809523809523808,0.4513888888888889,2.5439851548936634,1.0,0.8263888888888888,0.05555555555555555
2,3,0.7447089947089948,2.106765262191258,0.996031746031746,0.6706349206349206,0.07142857142857142,0.5972222222222222,1.9933074836929638,1.0,0.8472222222222222,0.09722222222222222
3,4,0.908730158730159,1.4408176827525336,0.996031746031746,0.6984126984126984,0.0873015873015873,0.7569444444444444,1.4399700586994488,1.0,0.8402777777777778,0.10416666666666667
4,5,0.9841269841269844,0.8837719318412599,0.996031746031746,0.75,0.06746031746031746,0.8611111111111112,1.0218488560575578,1.0,0.8263888888888888,0.1111111111111111
5,6,0.9993386243386243,0.5046939710302959,0.996031746031746,0.7579365079365079,0.07142857142857142,0.8819444444444444,0.7343435880417625,1.0,0.8263888888888888,0.11805555555555555
6,7,1.0,0.2911278416831342,1.0,0.753968253968254,0.07142857142857142,0.8958333333333334,0.5612894811460541,1.0,0.8263888888888888,0.11805555555555555
7,8,1.0,0.17905425646948436,0.9920634920634921,0.7738095238095238,0.07539682539682539,0.8958333333333334,0.4718402050332063,1.0,0.8263888888888888,0.13194444444444445
8,9,1.0,0.1193839835209979,0.996031746031746,0.8055555555555556,0.10714285714285714,0.9097222222222222,0.40857445298590594,1.0,0.8125,0.125
9,10,1.0,0.08540444973383159,0.9920634920634921,0.7619047619047619,0.13095238095238096,0.9097222222222222,0.37244741160733,1.0,0.8055555555555556,0.125
