,epochs,train_acc,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_acc,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.20965608465608476,3.267869135690114,0.5952380952380952,0.051587301587301584,0.0,0.2986111111111111,3.123338936103715,0.5674603174603174,0.2896825396825397,0.031746031746031744
1,2,0.5357142857142859,2.8709598533690923,0.9880952380952381,0.5952380952380952,0.03571428571428571,0.4930555555555556,2.7133892873922982,0.5714285714285714,0.44841269841269843,0.031746031746031744
2,3,0.7367724867724869,2.362934032129863,1.0,0.7142857142857143,0.027777777777777776,0.6875,2.235411315328545,0.5714285714285714,0.4642857142857143,0.03968253968253968
3,4,0.887566137566138,1.7945168041993702,1.0,0.7698412698412699,0.07142857142857142,0.7430555555555556,1.7657465665704675,0.5714285714285714,0.47619047619047616,0.05555555555555555
4,5,0.9556878306878309,1.2544208242306634,1.0,0.7261904761904762,0.027777777777777776,0.8333333333333334,1.345707866259747,0.5714285714285714,0.46825396825396826,0.05952380952380952
5,6,0.9914021164021163,0.8136404690051836,0.996031746031746,0.7857142857142857,0.06349206349206349,0.8333333333333334,1.004274747437901,0.5714285714285714,0.46825396825396826,0.051587301587301584
6,7,0.9986772486772487,0.5113130249674358,1.0,0.8015873015873016,0.07539682539682539,0.8680555555555556,0.7688579385479292,0.5714285714285714,0.46825396825396826,0.05952380952380952
7,8,1.0,0.32545482739806175,0.996031746031746,0.7103174603174603,0.09126984126984126,0.8888888888888888,0.6174672295132445,0.5714285714285714,0.4603174603174603,0.06349206349206349
8,9,1.0,0.21962906553276948,1.0,0.7579365079365079,0.07936507936507936,0.9097222222222222,0.5178744443692267,0.5714285714285714,0.4642857142857143,0.07142857142857142
9,10,1.0,0.15340498814152348,0.996031746031746,0.7738095238095238,0.10317460317460317,0.9097222222222222,0.45867029106658364,0.5714285714285714,0.45634920634920634,0.07142857142857142
