,epochs,train_acc,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_acc,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.10912698412698417,0.048189565317616576,0.9920634920634921,0.7182539682539683,0.10714285714285714,0.10416666666666667,2.963398246198065,1.0,0.9027777777777778,0.1875
1,2,0.32870370370370383,0.031656572100011604,0.996031746031746,0.8611111111111112,0.1865079365079365,0.3194444444444444,1.8652410629826288,1.0,0.9513888888888888,0.24305555555555555
2,3,0.6679894179894177,0.017550509216056928,1.0,0.9523809523809523,0.2222222222222222,0.6736111111111112,0.9774780346132401,1.0,0.9097222222222222,0.3819444444444444
3,4,0.9173280423280435,0.009087180474861747,1.0,0.9722222222222222,0.3253968253968254,0.8333333333333334,0.5190798328387447,1.0,0.9722222222222222,0.2916666666666667
4,5,0.9742063492063496,0.005486091238535231,1.0,0.9841269841269841,0.31746031746031744,0.8611111111111112,0.421210943249106,1.0,0.9861111111111112,0.3680555555555556
5,6,0.9966931216931217,0.004052007415642341,1.0,0.9801587301587301,0.3968253968253968,0.8888888888888888,0.35437024569708026,1.0,0.9791666666666666,0.4166666666666667
6,7,0.9993386243386244,0.003827320348512056,1.0,0.9722222222222222,0.47619047619047616,0.875,0.3746160347105211,1.0,0.9861111111111112,0.5138888888888888
7,8,0.9980158730158731,0.0034003182598907086,1.0,0.9920634920634921,0.5555555555555556,0.8402777777777778,0.39764148589812165,1.0,1.0,0.5277777777777778
8,9,1.0,0.0023470129489728676,1.0,0.996031746031746,0.7142857142857143,0.875,0.36245979597636807,1.0,0.9930555555555556,0.6527777777777778
9,10,1.0,0.0019175899335153637,1.0,1.0,0.753968253968254,0.8819444444444444,0.3549704048637068,1.0,0.9930555555555556,0.6597222222222222
