,epochs,train_acc,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_acc,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.11970899470899476,3.3056088856288364,0.7896825396825397,0.32936507936507936,0.01984126984126984,0.16666666666666666,3.2348594946993723,0.5714285714285714,0.44047619047619047,0.023809523809523808
1,2,0.2718253968253967,3.0528876365177213,0.9841269841269841,0.6984126984126984,0.031746031746031744,0.2152777777777778,2.8927563031514487,0.5714285714285714,0.4722222222222222,0.03968253968253968
2,3,0.3822751322751322,2.4944190747208066,0.996031746031746,0.7738095238095238,0.0873015873015873,0.2986111111111111,2.322509621994363,0.5714285714285714,0.46825396825396826,0.04365079365079365
3,4,0.6031746031746031,1.8424372247287206,0.9920634920634921,0.7619047619047619,0.06349206349206349,0.5694444444444444,1.7805451326486137,0.5714285714285714,0.48412698412698413,0.06349206349206349
4,5,0.8128306878306887,1.2682993357616759,1.0,0.7817460317460317,0.09523809523809523,0.7083333333333334,1.2734603136777878,0.5714285714285714,0.4880952380952381,0.06349206349206349
5,6,0.9325396825396834,0.7922649374083867,1.0,0.7976190476190477,0.08333333333333333,0.7986111111111112,0.8801458114758134,0.5714285714285714,0.4880952380952381,0.07539682539682539
6,7,0.9814814814814816,0.4749961881528771,0.9920634920634921,0.7658730158730159,0.06746031746031746,0.8472222222222222,0.635093193863415,0.5714285714285714,0.4880952380952381,0.07936507936507936
7,8,0.9986772486772486,0.27431656041788677,0.9920634920634921,0.7738095238095238,0.13095238095238096,0.875,0.5096554507811865,0.5714285714285714,0.49206349206349204,0.0873015873015873
8,9,1.0,0.16511527271497817,1.0,0.8293650793650794,0.0992063492063492,0.8680555555555556,0.4401928302831948,0.5714285714285714,0.49206349206349204,0.08333333333333333
9,10,1.0,0.11354725813818356,1.0,0.8690476190476191,0.11507936507936507,0.8819444444444444,0.39206857327371836,0.5714285714285714,0.49206349206349204,0.0992063492063492
